

















 ,	1. Input file
 ,	 ,	1-1,	Distribution_line_slot_configuration_data,	,	6,	[LINE4183.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Line_number,	 Number,	 4,	 ***,	
 ,	 ,	2,	Number_of_upper_slots,	 Number,	 4,	 ***,	
 ,	 ,	3,	Number_of_lower_slots,	 Number,	 4,	 ***,	


 ,	 ,	1-2,	Order_data,	,	40,	[ORDER3410.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Center_code,	 Number,	 4,	 ***,	
 ,	 ,	2,	Company_code,	 Number,	 4,	 ***,	
 ,	 ,	3,	Division_code,	 Number,	 4,	 ***,	
 ,	 ,	4,	Store_code,	 Number,	 4,	 ***,	
 ,	 ,	5,	Carry-in_regulations,	 Number,	 4,	 ***,	
 ,	 ,	6,	Shipping_priority,	 Number,	 4,	 ***,	
 ,	 ,	7,	Delivery_time_limit,	 Number,	 4,	 ***,	
 ,	 ,	8,	Regular_special_sale,	 Number,	 4,	 ***,	
 ,	 ,	9,	Sorting_classification_code,	 Number,	 4,	 ***,	
 ,	 ,	10,	Product_code,	 Number,	 4,	 ***,	
 ,	 ,	11,	Shipping_packing,	 Number,	 4,	 ***,	
 ,	 ,	12,	Number_of_orders,	 Number,	 4,	 ***,	


 ,	 ,	1-3,	Productivity_data,	,	8,	[PRODUCTIVITY656.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Work_start_time,	 Number,	 4,	 ***,	
 ,	 ,	2,	Action_step,	 Number,	 4,	 ***,	


 ,	2. Output file
 ,	 ,	2-1,	Execution_result,	,	41,	[STATUS2151.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Completion_code,	 Number,	 4,	 ***,	
 ,	 ,	2,	Error_message,	 Number,	 4,	 ***,	


 ,	 ,	2-2,	Execution_result,	,	64,	[SETTING4055.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Sequencing_No,	 Number,	 4,	 ***,	
 ,	 ,	2,	Allocation_line_No,	 Number,	 4,	 ***,	
 ,	 ,	3,	Slot_allocation_No,	 Number,	 4,	 ***,	
 ,	 ,	4,	Center_code,	 Number,	 4,	 ***,	




 ,	1. Input file
 ,	 ,	1-1,	Distribution_line_slot_configuration_data,	,	6,	[LINE3367.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Line_number,	 Number,	 4,	 ***,	
 ,	 ,	2,	Number_of_upper_slots,	 Number,	 4,	 ***,	
 ,	 ,	3,	Number_of_lower_slots,	 Number,	 4,	 ***,	


 ,	 ,	1-2,	Order_data,	,	40,	[ORDER2049.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Center_code,	 Number,	 4,	 ***,	
 ,	 ,	2,	Company_code,	 Number,	 4,	 ***,	
 ,	 ,	3,	Division_code,	 Number,	 4,	 ***,	
 ,	 ,	4,	Store_code,	 Number,	 4,	 ***,	
 ,	 ,	5,	Carry-in_regulations,	 Number,	 4,	 ***,	
 ,	 ,	6,	Shipping_priority,	 Number,	 4,	 ***,	
 ,	 ,	7,	Delivery_time_limit,	 Number,	 4,	 ***,	
 ,	 ,	8,	Regular_special_sale,	 Number,	 4,	 ***,	
 ,	 ,	9,	Sorting_classification_code,	 Number,	 4,	 ***,	
 ,	 ,	10,	Product_code,	 Number,	 4,	 ***,	


 ,	 ,	1-3,	Productivity_data,	,	8,	[PRODUCTIVITY3694.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Work_start_time,	 Number,	 4,	 ***,	
 ,	 ,	2,	Action_step,	 Number,	 4,	 ***,	


 ,	2. Output file
 ,	 ,	2-1,	Execution_result,	,	41,	[STATUS625.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Completion_code,	 Number,	 4,	 ***,	
 ,	 ,	2,	Error_message,	 Number,	 4,	 ***,	


 ,	 ,	2-2,	Execution_result,	,	64,	[SETTING4926.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Sequencing_No,	 Number,	 4,	 ***,	
 ,	 ,	2,	Allocation_line_No,	 Number,	 4,	 ***,	
 ,	 ,	3,	Slot_allocation_No,	 Number,	 4,	 ***,	
 ,	 ,	4,	Center_code,	 Number,	 4,	 ***,	
 ,	 ,	5,	Company_code,	 Number,	 4,	 ***,	
 ,	 ,	6,	Division_code,	 Number,	 4,	 ***,	
 ,	 ,	7,	Store_code,	 Number,	 4,	 ***,	
 ,	 ,	8,	Carry-in_regulations,	 Number,	 4,	 ***,	
 ,	 ,	9,	Regular_special_sale,	 Number,	 4,	 ***,	
 ,	 ,	10,	Sorting_classification_code,	 Number,	 4,	 ***,	
 ,	 ,	11,	Slot_division,	 Number,	 4,	 ***,	
 ,	 ,	12,	Total_number_of_ActionSteps,	 Number,	 4,	 ***,	
 ,	 ,	13,	Total_number_of_balls,	 Number,	 4,	 ***,	
 ,	 ,	14,	Total_number_of_pieces,	 Number,	 4,	 ***,	
 ,	 ,	15,	Total_number_of_bags,	 Number,	 4,	 ***,	




 ,	1. Input file
 ,	 ,	1-1,	Distribution_line_slot_configuration_data,	,	6,	[LINE2929.csv],	
 ,	 ,	No,	 Item,	 Type,	 Number of digits,	 Remarks,	
 ,	 ,	1,	Line_number,	 Number,	 4,	 ***,	
 ,	 ,	2,	Number_of_upper_slots,	 Number,	 4,	 ***,	
